alley	n. 小径；小巷；小路
ambulance	n. 救护车
analysis	n. 细察；分析; 分析报告；分析结果
analyst	n. 分析者；精神分析医师；分解者
ankle	n. 踝关节，踝
answer	vt. & vi. 答复；解答；答辩; 适应，符合，满足; 回应，响应; n. 回答；回音; 答案; 反应 时 态: answered，answering，answers
Antarctica	n. 南极洲形容词: Antarctic
architect	n. 建筑师, 设计师
architectures	n. 门窗的头线条板; 柱顶过梁
argument	n. 争吵；论据；内容提要；论证
aristocrat	n. 贵族
aspirin	n. 阿司匹林; 阿司匹林药片
assignment	n. 工作, 任务; 分配, 指派
atlas	n. 地图集 Atlas寰椎
audience	n. 观众；听众；接见；读者
auditorium	n. 观众席, 听众席; 礼堂, 会堂
award	vt. 授予；判定; n. 奖品；判决 时 态: awarded, awarding, awards 名 词: awarder
bachelor	n. 单身男子，单身汉; 学士；学士学位
bands	n. 法官,牧师或博士服的领饰
banquet	n. 宴会, 盛宴 vt. 宴请，设宴款待时 态: banqueted, banqueting, banquets
bases	n. 主要成分；根据；基础
basis	n. 底部；基础；主要成分；基本原则或原理
batteries	n. 电池
beard	vt. 公然反对；抓…的胡须; n. 胡须；颌毛; vi. 充当掩护；充当男随员 时 态: bearded, bearding, beards 形容词: bearded ...
blast	n. 爆炸；冲击波；一阵; vi. 猛攻; vt. 使枯萎；损害；爆炸 时 态: blasted, blasting, blasts 名 词: blaster
board	n. 板, 牌子, 黑板; 纸板, 木板; 委员会, 董事会; 伙食; vt. 用木板覆盖或封闭; 上; vt. & vi. 搭伙, 收费供膳食 时 态: boarded, board...
bowl	n. 碗；木球；大酒杯; vi. 玩保龄球；滑动；平稳快速移动; vt. 投球；旋转；平稳快速移动 时 态: bowled, bowling, bowls
branch	vt. 分支；出现分歧; vi. 分支；出现分歧; n. 树枝，分枝；分部；支流 时 态: branched, branching, branches 形容词: bran...
burger	n. 汉堡包
burglar	n. 夜贼，窃贼
business	n. 商业；生意；交易；事情
cage	n. 笼子; vt. 把…关入牢中 时 态: caged, caging, cages
Cambridge	n. 剑桥
camel	n. 骆驼；打捞浮筒；工作作风官僚; adj. 驼色的；暗棕色的; vi. 工作刻板平庸
camera	n. 照相机; 摄影机; 电视摄影机
campus	n. 校园; 大学或其分校
canteen	n. 小卖部, 食堂; 水壶, 水罐
